,precision,recall,f1-score,support
1. SUV,0.9868421052631579,1.0,0.9933774834437086,150.0
2. VAN,0.8308823529411765,0.7533333333333333,0.7902097902097902,150.0
3. STATION WAGON,0.9716312056737588,0.9319727891156463,0.9513888888888888,147.0
4. MICRO,0.9281045751633987,0.9466666666666667,0.9372937293729373,150.0
5. ACIK TEKERLEKLI (F1),0.86,0.86,0.86,150.0
6. SEDAN,0.8529411764705882,0.9666666666666667,0.90625,150.0
7. HATCHBACK,0.8881118881118881,0.8466666666666667,0.8668941979522184,150.0
8. PICK UP,0.9539473684210527,0.9666666666666667,0.9602649006622517,150.0
accuracy,0.908939014202172,0.908939014202172,0.908939014202172,0.908939014202172
macro avg,0.9090575840056276,0.9089965986394558,0.9082098738162243,1197.0
weighted avg,0.9089007578861587,0.908939014202172,0.9081016557333355,1197.0
